-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 03/31/2021 
Location: Latitude  -2.1362   Longitude -79.9036 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 64.58 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_NKT              CERES SYN1deg All Sky Normalized Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,1,1,3.64,7.35,0.36,0.43,404.73,71.98,140.84,10.69,0.37,1.91
2020,1,2,3.95,7.25,0.39,0.47,395.81,77.12,138.38,11.4,0.39,2.05
2020,1,3,3.7,7.27,0.36,0.44,398.38,72.35,138.73,10.69,0.37,1.9
2020,1,4,4.87,7.3,0.48,0.57,394.54,94.98,139.66,13.23,0.43,2.27
2020,1,5,3.84,7.33,0.38,0.45,405.69,75.55,139.83,11.05,0.37,1.88
2020,1,6,4.29,7.37,0.42,0.5,403.75,83.74,140.88,11.76,0.38,2.02
2020,1,7,3.3,7.47,0.32,0.38,406.14,64.95,142.3,9.66,0.33,1.67
2020,1,8,4.9,7.46,0.48,0.57,397.84,95.85,142.35,13.44,0.44,2.3
2020,1,9,5.82,7.42,0.57,0.68,397.4,113.05,141.46,15.41,0.49,2.61
2020,1,10,4.44,7.28,0.44,0.52,409.73,87.12,139.02,12.23,0.41,2.11
2020,1,11,3.79,6.91,0.37,0.45,419.29,74.7,131.84,10.48,0.34,1.8
2020,1,12,3.83,6.82,0.38,0.45,420.02,74.1,129.55,10.28,0.34,1.81
2020,1,13,4.24,6.46,0.41,0.49,409.98,82.53,121.77,10.85,0.34,1.8
2020,1,14,3.88,7.0,0.38,0.45,410.75,76.84,133.95,10.83,0.36,1.89
2020,1,15,3.29,7.23,0.32,0.38,412.65,64.5,138.82,9.59,0.34,1.75
2020,1,16,3.6,6.77,0.35,0.41,403.8,70.29,127.62,9.7,0.31,1.63
2020,1,17,4.36,7.29,0.42,0.51,402.76,85.49,139.45,12.17,0.41,2.11
2020,1,18,3.88,6.99,0.38,0.45,404.14,76.28,133.55,10.7,0.35,1.84
2020,1,19,3.61,6.68,0.35,0.41,407.9,70.44,125.12,9.66,0.33,1.7
2020,1,20,4.52,6.87,0.44,0.52,400.8,88.55,130.45,12.08,0.39,2.05
2020,1,21,3.48,6.98,0.34,0.4,397.34,69.26,132.04,9.8,0.32,1.67
2020,1,22,4.41,7.3,0.43,0.51,402.77,87.29,139.87,12.15,0.4,2.09
2020,1,23,3.67,7.46,0.35,0.42,395.16,72.38,142.52,10.72,0.36,1.86
2020,1,24,4.6,7.44,0.45,0.53,389.89,90.7,143.25,13.12,0.45,2.38
2020,1,25,3.77,7.25,0.37,0.43,396.92,75.53,139.66,11.02,0.38,2.02
2020,1,26,4.54,7.14,0.44,0.52,394.12,89.41,135.82,12.42,0.42,2.2
2020,1,27,4.26,7.33,0.41,0.48,416.59,85.13,140.53,12.02,0.39,2.03
2020,1,28,3.1,7.1,0.3,0.35,408.47,61.88,134.59,9.02,0.3,1.57
2020,1,29,4.21,7.27,0.41,0.48,399.0,83.68,139.73,12.01,0.39,2.02
2020,1,30,4.51,7.44,0.43,0.52,398.82,89.98,143.56,12.86,0.42,2.2
2020,1,31,4.37,7.32,0.42,0.5,390.23,85.91,140.42,12.29,0.39,2.02
2020,2,1,3.0,7.16,0.29,0.34,397.75,60.03,135.77,8.75,0.28,1.45
2020,2,2,4.13,7.1,0.4,0.47,402.58,82.18,136.05,11.58,0.38,1.96
2020,2,3,4.42,7.01,0.42,0.5,399.2,86.18,132.67,11.72,0.38,1.97
2020,2,4,4.81,7.06,0.46,0.55,394.11,94.56,134.35,12.82,0.41,2.2
2020,2,5,3.63,7.48,0.34,0.41,404.55,72.62,142.78,10.41,0.34,1.79
2020,2,6,5.09,7.5,0.48,0.57,393.91,99.79,143.18,13.79,0.45,2.34
2020,2,7,3.87,7.3,0.37,0.44,407.69,76.84,140.16,10.98,0.37,1.91
2020,2,8,4.07,7.52,0.39,0.46,392.21,79.42,142.02,11.55,0.39,2.04
2020,2,9,4.51,7.24,0.43,0.51,403.12,89.27,138.59,12.38,0.41,2.12
2020,2,10,3.84,7.17,0.37,0.43,412.77,76.33,138.41,10.73,0.35,1.8
2020,2,11,4.46,7.23,0.42,0.5,403.95,88.39,138.36,12.17,0.39,2.01
2020,2,12,3.91,7.1,0.37,0.44,413.02,76.38,134.78,10.56,0.34,1.8
2020,2,13,3.79,6.7,0.36,0.42,414.02,72.84,125.29,9.64,0.31,1.63
2020,2,14,3.52,6.76,0.34,0.39,407.8,68.67,126.38,9.44,0.3,1.59
2020,2,15,2.36,7.14,0.23,0.27,404.36,47.95,136.66,7.0,0.23,1.21
2020,2,16,3.96,6.95,0.38,0.45,407.8,78.91,132.45,10.75,0.35,1.84
2020,2,17,4.07,7.2,0.38,0.45,411.65,80.82,137.41,11.23,0.38,1.94
2020,2,18,3.81,7.03,0.36,0.42,412.71,76.1,133.82,10.34,0.34,1.76
2020,2,19,3.69,7.05,0.35,0.41,411.54,72.78,133.65,10.05,0.33,1.73
2020,2,20,3.86,7.43,0.37,0.43,401.88,75.64,141.48,10.91,0.36,1.85
2020,2,21,3.43,7.4,0.33,0.38,406.33,69.12,142.12,9.89,0.33,1.7
2020,2,22,4.85,7.43,0.46,0.54,399.52,95.66,142.48,13.46,0.45,2.33
2020,2,23,4.5,7.48,0.42,0.5,398.68,89.27,144.39,12.71,0.41,2.14
2020,2,24,2.65,7.37,0.25,0.3,380.22,52.91,137.23,7.69,0.26,1.34
2020,2,25,4.19,7.23,0.4,0.46,407.56,82.44,136.73,11.62,0.39,2.05
2020,2,26,4.41,7.36,0.41,0.49,408.59,89.09,142.44,12.66,0.43,2.22
2020,2,27,4.0,7.28,0.38,0.45,402.11,80.25,139.15,11.23,0.36,1.89
2020,2,28,4.03,7.27,0.38,0.45,408.34,81.51,140.32,11.51,0.38,1.98
